====================Start New Logs==============================
config: GD | instance: break-through-2x5  | solver: caqe | preprocessor: bloqqer | time: 5
config: GD | instance: break-through-2x5  | solver: depqbf | preprocessor: bloqqer | time: 5
config: GD | instance: break-through-3x4  | solver: caqe | preprocessor: bloqqer | time: 7
config: GD | instance: break-through-3x4  | solver: depqbf | preprocessor: bloqqer | time: 8
config: GD | instance: break-through-2x6  | solver: caqe | preprocessor: bloqqer | time: 15
config: GD | instance: break-through-2x6  | solver: depqbf | preprocessor: bloqqer | time: 38
config: GD | instance: break-through-4x4  | solver: caqe | preprocessor: bloqqer | time: 55
config: GD | instance: break-through-4x4  | solver: depqbf | preprocessor: bloqqer | time: 89
config: GD | instance: connect-3-4x4  | solver: caqe | preprocessor: bloqqer | time: 1
config: GD | instance: connect-3-4x4  | solver: depqbf | preprocessor: bloqqer | time: 1
config: GD | instance: connect-3-5x5  | solver: caqe | preprocessor: bloqqer | time: 8
config: GD | instance: connect-3-5x5  | solver: depqbf | preprocessor: bloqqer | time: 10
config: GD | instance: connect-3-6x6  | solver: caqe | preprocessor: bloqqer | time: 130
config: GD | instance: connect-3-6x6  | solver: depqbf | preprocessor: bloqqer | time: 311
config: GD | instance: connect-4-4x4  | solver: caqe | preprocessor: bloqqer | time: 1
config: GD | instance: connect-4-4x4  | solver: depqbf | preprocessor: bloqqer | time: 1
config: GD | instance: connect-4-5x4  | solver: caqe | preprocessor: bloqqer | time: 53
config: GD | instance: connect-4-5x4  | solver: depqbf | preprocessor: bloqqer | time: 68
config: GD | instance: connect-4-5x5  | solver: caqe | preprocessor: bloqqer | time: 1516
config: GD | instance: connect-4-5x5  | solver: depqbf | preprocessor: bloqqer | time: > 1800
config: GD | instance: gttt-4x4-1-1-fatty-v2  | solver: caqe | preprocessor: bloqqer | time: 103
config: GD | instance: gttt-4x4-1-1-fatty-v2  | solver: depqbf | preprocessor: bloqqer | time: 60
config: GD | instance: gttt-4x4-1-1-elly-v2  | solver: caqe | preprocessor: bloqqer | time: 711
config: GD | instance: gttt-4x4-1-1-elly-v2  | solver: depqbf | preprocessor: bloqqer | time: 102
config: GD | instance: gttt-4x4-1-1-knobby-v2  | solver: caqe | preprocessor: bloqqer | time: 623
